smoothed switches between -C2-C3 & C2+C3 based on C1,-0.67,-0.2545,-0.229,0.084,48,-0.057
polynomial C1 t C2 t C3,-2.415,-0.079,-0.208,0.057,46,0.039
just random,-0.695,-0.036,-0.085,0.004,47,-0.001
polynomial C1 t C2 t C3^1d3,-1.404,-0.0315,-0.063,0.615,46,0.026
median subtraction in each row,-0.641,-0.033,-0.058,0.027,47,0.002
polynomial C1 ^ C2,-0.959,0.092,0.015,0.455,48,0.453
mean subtraction in each row,-0.58,0.019,0.042,0.259,47,0.154
switches between -C2-C3 & C2+C3 based on C1,-0.479,0.0615,0.048,0.375,48,0.201
polynomial C1 t C2,-0.092,0.063,0.134,0.911,47,0.291
switches between C2+C3 & C4+C5 based on C1,-0.605,0.307,0.25,0.501,49,0.372
randomly switches between C1 & C2,-0.071,0.324,0.287,0.462,49,0.372
switches between C2 & -C2 based on C1,-0.303,0.346,0.339,1,49,0.506
polynomial C1 ^ 2,-0.322,0.272,0.354,0.969,49,0.904
polynomial C1 ^ -2,0.445,0.4635,0.462,0.477,26,0.469
switches between 1 & -1 based on C1,0.025,0.434,0.592,1,45,0.922
polynomial C1 ^ .5,-0.43,0.731,0.648,0.989,48,0.928
basic latent features,-0.119,0.975,0.791,1,209,1
